Left,Right,vrc.v_aa,vrc.v_ch,vrc.v_dd,vrc.v_e,vrc.v_ff,vrc.v_ih,vrc.v_kk,vrc.v_nn,vrc.v_oh,vrc.v_ou,vrc.v_pp,vrc.v_rr,vrc.v_sil,vrc.v_ss,vrc.v_th,あ,い,う,え,お,笑い,まばたき,ウィンク,ウィンク右,ビックリ,じとめ,おこ,ぐるぐる,なごみ,はぅ,なき,尻尾笑い,尻尾まばたき,尻尾ぐるぐる,尻尾てれ,尻尾なき,尻尾ビックリ,尻尾口開き,てれっ,しただし,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
0,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,,
0,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
0,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,
0,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
1,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,,
1,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
1,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
2,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
2,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
2,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,100,,,,,,0,,
2,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
2,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,100,,,,,,0,0,
2,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,100,,,,,,,,
2,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,100,,,,,,,,
3,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,,
3,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,,,
3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,,
3,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
3,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,
3,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,100,100,
4,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,100,100,
4,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,100,100,
4,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,0,,,,,,0,100,
4,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,0,,,,,,100,100,
4,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,,,,,,0,0,
4,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,0,,,,,,100,100,
4,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,0,,,,,,100,100,
5,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,100,,
5,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,100,,
5,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,100,,
5,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,,
5,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,100,,
5,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
5,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,100,,
5,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,100,,
6,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,100,
6,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,100,
6,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,0,100,
6,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,100,
6,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,100,
6,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
6,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,0,100,
6,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,0,100,
7,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,0,0,
7,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,0,0,
7,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,100,,,,,,0,0,
7,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,0,0,
7,4,,,,,,,,,,,,,,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,
7,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,0,0,
7,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,0,0,
7,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,0,0,
